Acid Malt|3 SRM|1.027 SG|1
Amber Dry Extract|13 SRM|1.044 SG|0
Amber Liquid Extract|13 SRM|1.036 SG|0
Amber Malt|22 SRM|1.035 SG|1
Aromatic Malt|26 SRM|1.036 SG|1
Barley Hulls|0 SRM|1.000 SG|1
Barley, Flaked|2 SRM|1.032 SG|1
Barley, Raw|2 SRM|1.028 SG|1
Barley, Torrefied|2 SRM|1.036 SG|1
Biscuit Malt|23 SRM|1.036 SG|1
Black (Patent) Malt|500 SRM|1.025 SG|1
Black Barley (Stout)|500 SRM|1.025 SG|1
Brown Malt|65 SRM|1.032 SG|1
Brown Sugar, Dark|50 SRM|1.046 SG|0
Brown Sugar, Light|8 SRM|1.046 SG|0
Brumalt|23 SRM|1.033 SG|1
Candi Sugar, Amber|75 SRM|1.036 SG|0
Candi Sugar, Clear|1 SRM|1.036 SG|0
Candi Sugar, Dark|275 SRM|1.036 SG|0
Cane (Beet) Sugar|0 SRM|1.046 SG|0
Cara-Pils/Dextrine|2 SRM|1.033 SG|1
Caraamber|30 SRM|1.035 SG|1
Carafoam|2 SRM|1.033 SG|1
Crystal Malt - 10L|10 SRM|1.035 SG|1
Crystal Malt - 20L|20 SRM|1.035 SG|1
Crystal Malt - 30L|30 SRM|1.035 SG|1
Crystal Malt - 40L|40 SRM|1.034 SG|1
Crystal Malt - 60L|60 SRM|1.034 SG|1
Crystal Malt - 80L|80 SRM|1.034 SG|1
Crystal Malt - 120L|120 SRM|1.033 SG|1
Caramunich Malt|56 SRM|1.033 SG|1
Carared|20 SRM|1.035 SG|1
Caravienne Malt|22 SRM|1.034 SG|1
Chocolate Malt|350 SRM|1.028 SG|1
Chocolate Malt|450 SRM|1.034 SG|1
Corn Sugar (Dextrose)|0 SRM|1.046 SG|0
Corn Syrup|1 SRM|1.036 SG|0
Corn, Flaked|1 SRM|1.037 SG|1
Dark Dry Extract|18 SRM|1.044 SG|0
Dark Liquid Extract|18 SRM|1.036 SG|0
Dememera Sugar|2 SRM|1.046 SG|0
Extra Light Dry Extract|3 SRM|1.044 SG|0
Grits|1 SRM|1.037 SG|1
Honey|1 SRM|1.035 SG|0
Invert Sugar|0 SRM|1.046 SG|0
Light Dry Extract|8 SRM|1.044 SG|0
Maple Syrup|35 SRM|1.030 SG|0
Maris Otter|3 SRM|1.036 SG|1
Melanoiden Malt|20 SRM|1.037 SG|1
Mild Malt|4 SRM|1.037 SG|1
Milk Sugar (Lactose)|0 SRM|1.035 SG|0
Molasses|80 SRM|1.036 SG|0
Munich Malt|9 SRM|1.037 SG|1
Munich Malt - 10L|10 SRM|1.035 SG|1
Munich Malt - 20L|20 SRM|1.035 SG|1
Oats, Flaked|1 SRM|1.037 SG|1
Oats, Malted|1 SRM|1.037 SG|1
Pale Liquid Extract|8 SRM|1.036 SG|0
Pale Malt (2 Row) Bel|3 SRM|1.037 SG|1
Pale Malt (2 Row) UK|3 SRM|1.036 SG|1
Pale Malt (2 Row) US|2 SRM|1.036 SG|1
Pale Malt (6 Row) US|2 SRM|1.035 SG|1
Peat Smoked Malt|3 SRM|1.034 SG|1
Pilsner (2 Row) Bel|2 SRM|1.036 SG|1
Pilsner (2 Row) Ger|2 SRM|1.037 SG|1
Pilsner (2 Row) UK|1 SRM|1.036 SG|1
Pilsner Liquid Extract|4 SRM|1.036 SG|0
Rice Extract Syrup|7 SRM|1.032 SG|0
Rice Hulls|0 SRM|1.000 SG|1
Rice, Flaked|1 SRM|1.032 SG|1
Roasted Barley|300 SRM|1.025 SG|1
Rye Malt|5 SRM|1.029 SG|1
Rye, Flaked|2 SRM|1.036 SG|1
Smoked Malt|9 SRM|1.037 SG|1
Special B Malt|180 SRM|1.030 SG|1
Special Roast|50 SRM|1.033 SG|1
Sugar, Table (Sucrose)|1 SRM|1.046 SG|0
Toasted Malt|27 SRM|1.033 SG|1
Turbinado|10 SRM|1.044 SG|0
Victory Malt|25 SRM|1.034 SG|1
Vienna Malt|4 SRM|1.036 SG|1
Wheat Dry Extract|8 SRM|1.044 SG|0
Wheat Liquid Extract|8 SRM|1.036 SG|0
Wheat Malt, Bel|2 SRM|1.037 SG|1
Wheat Malt, Dark|9 SRM|1.039 SG|1
Wheat Malt, Ger|2 SRM|1.039 SG|1
Wheat, Flaked|2 SRM|1.035 SG|1
Wheat, Roasted|425 SRM|1.025 SG|1
Wheat, Torrified|2 SRM|1.036 SG|1
White Wheat Malt|2 SRM|1.040 SG|1
